Task,Variable,rho_spearman,pvalue,n_animals
Task1,Year,1.0,0.0,13
Task1,Explored Area,1.0,0.0,13
Task1,Circle_Nr,0.9637246651855472,1.1877056229014384e-07,13
Task1,LOCO_TOT,0.8732782369146005,9.667434715426233e-05,13
Task1,LOCO_BEF,0.8296703296703297,0.00045028629554621293,13
Task1,Expl_I_BEF_Calc_T,0.7802197802197801,0.001652500657442955,13
Task1,Expl_E_TOT_Loco_ratio,0.7582417582417583,0.0026660786121372876,13
Task1,Expl_TOT_T,0.7472527472527472,0.003326741383429984,13
Task1,Expl_E_I_AFT_T,0.7362637362637362,0.004107709360574614,13
Task1,Expl_I_BEF_AFT_T,0.7252747252747254,0.005023237655349918,13
Task1,Expl_I_BEF_Calc,0.7197802197802198,0.005536115775787642,13
Task1,Expl_I_BEF_Loco_ratio,0.7190109927690008,0.005611010568464246,13
Task1,Expl_E_BEF_Loco_ratio,0.7152689022449483,0.0059865208435188125,13
Task1,Expl_REP_E_BEF_Calc_T,0.6923076923076923,0.008730317796749324,13
Task1,Dir_Change_Nr,0.6479370253267757,0.016629073324736274,13
Task1,Expl_E_I_AFT_Nr,0.6161367537802486,0.024939353880596603,13
Task1,Expl_I_AFT_T,0.6043956043956044,0.02867270567140696,13
Task1,Expl_E_I_BEF_Calc_T,0.5989010989010989,0.03055411417293786,13
Task1,Expl_EI_BEF_Loco_ratio,0.5934065934065934,0.03252444027009699,13
Task1,Expl_E_AFT_T,0.5887213272323805,0.034276595495836865,13
Task1,Expl_E_I_TOT_Loco_ratio,0.5887213272323805,0.034276595495836865,13
Task1,Expl_E_BEF_AFT_T,0.5824175824175823,0.03674133435865427,13
Task1,EXPL_BEF,0.5659340659340659,0.04379259223545482,13
Task1,Expl_E_I_AFT_T_Calc,0.5604395604395606,0.04634590589406461,13
Task1,Expl_E_AFT_Nr,0.5540187460954447,0.04946323429478836,13
Task1,Expl_E_BEF_AFT_Nr,0.545714746187241,0.05371392173020441,13
Task1,Expl_REP_E_I_BEF_Calc_T,0.5439560439560439,0.05464653454086549,13
Task1,EAT_TOT_T,0.5406901695033786,0.056408868964052526,13
Task1,Expl_REP_TOT_Nr,0.536665668828533,0.05863567452907734,13
Task1,Expl_E_BEF_Calc_T,0.532967032967033,0.06073650306561788,13
Task1,Expl_I_TOT_Loco_ratio,0.532967032967033,0.06073650306561788,13
Task1,Expl_REP_E_BEF_AFT_Nr,0.5304729493863882,0.062182860125122134,13
Task1,Loco_BEF_NR,0.5277859226851106,0.0637681562201506,13
Task1,L_C_Tot,0.5048280664240729,0.07849120587717752,13
Task1,L_C,0.5048280664240729,0.07849120587717752,13
Task1,First_Box location,0.5006939628599933,0.08137333807843157,13
Task1,LAT_I,0.4945054945054945,0.08582353060960755,13
Task1,Lat_E_Log,0.4945054945054945,0.08582353060960755,13
Task1,Expl_REP_I_BEF_Calc_T,0.4704268549380237,0.10473414443548094,13
Task1,EXPL_TOT,0.43741444406518,0.13498399679612466,13
Task1,Expl_E_BEF_Calc,0.4340659340659341,0.1383423778882127,13
Task1,Expl_I_AFT_Nr,0.4224813877411202,0.1503836455726045,13
Task1,Expl_REP_E_AFT_Nr,0.40699368417030324,0.16751956678895225,13
Task1,Expl_I_BEF_T,0.4010989010989011,0.17435746494503276,13
Task1,EAT_E_T,0.38514479351651065,0.193747272036706,13
Task1,L_C_E,0.38514479351651065,0.193747272036706,13
Task1,Expl_REP_AFT_Nr,0.38101536390411367,0.1989774059954312,13
Task1,Expl_I_AFT_T_Calc,0.37912087912087916,0.20140608996104345,13
Task1,Expl_E_AFT_Calc,0.3713896223194924,0.21150833679368605,13
Task1,LAT_E_I,0.35714285714285715,0.23092986230203402,13
Task1,Lat_I_Log,0.35714285714285715,0.23092986230203402,13
Task1,Expl_REP_E_AFT_Nr_Calc,0.34516429588699615,0.24806918364374037,13
Task1,Expl_I_BEF_Nr,0.33663400010219935,0.26072553456529324,13
Task1,Expl_REP_I_BEF_Nr,0.33663400010219935,0.26072553456529324,13
Task1,LAT_E,0.32967032967032966,0.27133505450523565,13
Task1,Lat_Tot_Log,0.32967032967032966,0.27133505450523565,13
Task1,Expl_E_I_AFT_Calc,0.3218710060102268,0.28351307859853475,13
Task1,Expl_E_BEF_Ratio,0.3218710060102268,0.28351307859853475,13
Task1,Expl_E_TOT_Ratio,0.31911997177082313,0.28788283230482103,13
Task1,Expl_E_I_BEF_T,0.3131868131868132,0.2974384220710292,13
Task1,Box_REP_E_BEF_Nr,0.3007379386739986,0.31806805951141903,13
Task1,Expl_REP_AFT_Nr_Calc,0.2623248648741171,0.38658083751156824,13
Task1,Expl_REP_I_AFT_Nr,0.23124864503144016,0.4471584092459452,13
Task1,Expl_E_BEF_Nr,0.18559627994197395,0.5438093215336132,13
Task1,Expl_REP_E_BEF_Nr,0.18559627994197395,0.5438093215336132,13
Task1,Expl_I_BEF_AFT_Nr,0.15738711101220856,0.6075955604959316,13
Task1,Skipping,0.12811768579763458,0.6765933133872486,13
Task1,Expl_REP_I_AFT_Nr_Calc,0.12230500193255042,0.6905978542752053,13
Task1,Expl_E_BEF_T,0.0934065934065934,0.7615000227827016,13
Task1,Expl_REP_I_BEF_AFT_Nr,0.07703564802020847,0.8024794829020755,13
Task1,Expl_E_I_BEF_Nr,0.049861687148590024,0.8714926074328377,13
Task1,Expl_REP_BEF_Nr,0.049861687148590024,0.8714926074328377,13
Task1,Box_REP_E_I_BEF_Nr,0.014749326708603277,0.9618574233714616,13
Task1,Expl_E_AFT_T_Calc,-0.02200827391522918,0.9431081531400504,13
Task1,A_E,-0.038781312226681124,0.8999026178726773,13
Task1,L_C_I,-0.04958677685950414,0.8721958942393029,13
Task1,Expl_I_AFT_Calc,-0.08539977308750583,0.7814777530405761,13
Task1,EAT_I_T,-0.11294765840220386,0.7133326111973837,13
Task1,Box_REP_I_BEF_Nr,-0.13936605457534773,0.6497659760170953,13
Task1,Paradigm,,,13
Task1,EAT_E_Nr,,,13
Task1,EAT_E_%,,,13
Task1,EAT_I_Nr,,,13
Task1,EAT_I_%,,,13
Task1,EAT_TOT_Nr,,,13
Task1,EAT_TOT_%%,,,13
Task1,Box_E_BEF_Nr,,,13
Task1,Box_I_BEF_Nr,,,13
Task1,Box_E_I_BEF_Nr,,,13
Task1,Eff_Expl_E,,,13
Task1,Eff_Expl_I,,,13
Task1,Eff_Expl_EI,,,13
Task1,E_E,,,13
Task2,Year,1.0,0.0,856
Task2,Explored Area,0.8699372165278628,2.041375065099073e-264,856
Task2,LOCO_TOT,0.70516105364092,1.1583590286576044e-129,856
Task2,Expl_E_I_TOT_Loco_ratio,0.700008757880399,5.2295086690155775e-127,856
Task2,Expl_I_TOT_Loco_ratio,0.6899841239294799,5.290653141369974e-122,856
Task2,Expl_EI_BEF_Loco_ratio,0.6556686015189682,2.5668242254062e-106,856
Task2,EXPL_BEF,0.623956278710238,1.5210714110437777e-93,856
Task2,Expl_I_BEF_Loco_ratio,0.6109966095832472,9.743144554833349e-89,856
Task2,EXPL_TOT,0.6008027231050622,4.128551153357913e-85,856
Task2,Loco_BEF_NR,0.5958553410473887,2.135464003653592e-83,856
Task2,Circle_Nr,0.5910486401465695,9.250267219469141e-82,856
Task2,Expl_E_I_AFT_Nr,0.5908717201583831,1.0613791656624792e-81,856
Task2,LOCO_BEF,0.5876974342659751,1.2332413471581593e-80,856
Task2,Expl_E_TOT_Loco_ratio,0.5792302613091774,7.506624681628094e-78,856
Task2,Expl_E_AFT_Nr,0.5763791354922528,6.2344253778013815e-77,856
Task2,Expl_I_BEF_Calc,0.5549581634497832,2.6408153291108862e-70,856
Task2,Expl_REP_TOT_Nr,0.5461969932122879,9.908230063337243e-68,856
Task2,Expl_REP_AFT_Nr,0.544652143342459,2.7673425479775597e-67,856
Task2,Dir_Change_Nr,0.5368934698371859,4.442078303500972e-65,856
Task2,Expl_I_BEF_AFT_Nr,0.5293494449925147,5.466547205421726e-63,856
Task2,Expl_REP_E_AFT_Nr,0.5213124180715606,8.075527274653063e-61,856
Task2,Expl_I_AFT_Nr,0.5169477440559209,1.1513278360593378e-59,856
Task2,EAT_TOT_Nr,0.4988276734721795,4.7541889946984246e-55,856
Task2,EAT_TOT_%%,0.4988276734721795,4.7541889946984246e-55,856
Task2,Expl_REP_I_BEF_Calc_T,0.47773260425346525,5.1630320733551025e-50,856
Task2,Expl_REP_E_AFT_Nr_Calc,0.4627796349151255,1.1894984896588353e-46,856
Task2,Expl_REP_I_BEF_AFT_Nr,0.46141962982015045,2.3604903061941504e-46,856
Task2,Expl_E_BEF_AFT_Nr,0.46009426041873774,4.589567446643638e-46,856
Task2,Expl_REP_AFT_Nr_Calc,0.45823172156092096,1.1626236239559979e-45,856
Task2,Expl_REP_I_AFT_Nr,0.4572993377046371,1.8474777491432397e-45,856
Task2,Expl_E_I_AFT_Calc,0.45498838700164634,5.786785530765655e-45,856
Task2,Expl_E_I_AFT_T,0.4527623288754792,1.7238328360883728e-44,856
Task2,Expl_REP_E_I_BEF_Calc_T,0.44219317014490195,2.7542917991877537e-42,856
Task2,Expl_REP_E_BEF_AFT_Nr,0.4389238667118246,1.2765801220619175e-41,856
Task2,Expl_E_BEF_Calc,0.4323570008354485,2.6430392249833007e-40,856
Task2,L_C_Tot,0.4141446983340174,8.392167696283183e-37,856
Task2,Expl_E_BEF_Loco_ratio,0.4136308796844256,1.046127649322956e-36,856
Task2,L_C_I,0.4115421405004733,2.5524145779656784e-36,856
Task2,L_C,0.4115421405004733,2.5524145779656784e-36,856
Task2,EAT_I_T,0.41148162776951536,2.6189837038335595e-36,856
Task2,EAT_TOT_T,0.41148162776951536,2.6189837038335595e-36,856
Task2,Expl_E_AFT_T,0.4097582834288938,5.440171515342884e-36,856
Task2,Expl_I_AFT_Calc,0.40242937035361015,1.16198573896085e-34,856
Task2,Expl_E_I_BEF_Calc_T,0.4009666848658296,2.1213253851309134e-34,856
Task2,Expl_E_AFT_Calc,0.39133358234257526,1.0373013104897658e-32,856
Task2,Expl_I_BEF_Calc_T,0.3725772265646513,1.406768706610224e-29,856
Task2,Expl_I_AFT_T,0.36708364740011323,1.0653687116328661e-28,856
Task2,Expl_REP_I_AFT_Nr_Calc,0.3565238979890629,4.682129650592392e-27,856
Task2,Expl_E_I_BEF_T,0.35352537575756965,1.336034654717646e-26,856
Task2,EAT_I_Nr,0.3506514181275265,3.6116328359319853e-26,856
Task2,EAT_I_%,0.3506514181275265,3.6116328359319853e-26,856
Task2,Eff_Expl_I,0.3506514181275265,3.6116328359319853e-26,856
Task2,E_E,0.3506514181275265,3.6116328359319853e-26,856
Task2,Skipping,0.33697035605274783,3.574250119779164e-24,856
Task2,Expl_E_I_BEF_Nr,0.33620903438800853,4.5849236637730324e-24,856
Task2,Expl_I_BEF_Nr,0.33403157318173754,9.310627093133506e-24,856
Task2,A_E,0.33372702778622493,1.0275688489481173e-23,856
Task2,Expl_REP_I_BEF_Nr,0.3150979267341393,3.480315464524083e-21,856
Task2,Expl_REP_BEF_Nr,0.3127896279909689,6.964669390444089e-21,856
Task2,Expl_E_I_AFT_T_Calc,0.30641497951457985,4.5838871775646764e-20,856
Task2,Expl_I_BEF_T,0.3004965416881448,2.5303293439951835e-19,856
Task2,Box_REP_I_BEF_Nr,0.300105793069104,2.828543358332338e-19,856
Task2,Expl_E_BEF_Nr,0.2997053520305686,3.1700943347706033e-19,856
Task2,Expl_E_BEF_T,0.2992905444652072,3.5667775704437022e-19,856
Task2,Expl_E_BEF_Calc_T,0.2953978386990773,1.068441845894346e-18,856
Task2,Expl_TOT_T,0.2924323595705021,2.4369870233577342e-18,856
Task2,LAT_I,0.2848094455493579,1.941736262913398e-17,856
Task2,Lat_E_Log,0.2848094455493579,1.941736262913398e-17,856
Task2,Expl_E_AFT_T_Calc,0.2770164066539407,1.518501359334283e-16,856
Task2,Box_REP_E_I_BEF_Nr,0.2769269462680906,1.5541927042188937e-16,856
Task2,Expl_I_AFT_T_Calc,0.2616006959078045,7.342249372633157e-15,856
Task2,LAT_E_I,0.25049983930307457,1.0285994045831923e-13,856
Task2,Lat_I_Log,0.25049983930307457,1.0285994045831923e-13,856
Task2,Expl_REP_E_BEF_Calc_T,0.2429212763596783,5.801292774091696e-13,856
Task2,Expl_REP_E_BEF_Nr,0.23158475716718455,6.92753486300562e-12,856
Task2,Box_REP_E_BEF_Nr,0.2183525600358678,1.066704410437573e-10,856
Task2,Expl_E_BEF_AFT_T,0.2128128381986346,3.1859078347075234e-10,856
Task2,Expl_I_BEF_AFT_T,0.19272748502300852,1.3169644076778738e-08,856
Task2,Eff_Expl_EI,0.18105210201048788,9.632425105739292e-08,856
Task2,Box_E_BEF_Nr,0.17983317273408506,1.1770888048199044e-07,856
Task2,Box_E_I_BEF_Nr,0.17983317273408506,1.1770888048199044e-07,856
Task2,LAT_E,0.15845001875679993,3.1847018448262286e-06,856
Task2,Lat_Tot_Log,0.15845001875679993,3.1847018448262286e-06,856
Task2,Expl_E_TOT_Ratio,0.15752602240143243,3.638651672833572e-06,856
Task2,Expl_E_BEF_Ratio,0.11188170418015454,0.001042152092749751,856
Task2,First_Box location,0.026261586434589274,0.44286906920288116,856
Task2,Paradigm,,,856
Task2,Box_I_BEF_Nr,,,856
